spec,description,category,section_note,area,room_type_quantities,attic_stock,total,uom,notes,source_page,item_id,vendor,model,part_number,unit_cost,warranty_months,warranty_start,warranty_end,installed_date,last_replaced,on_hand,min_on_hand,storage_location,link,image_urls,tags
GR-203,"Guestroom Floor Lamp (with 3 Heads) - 68""H",LIGHTING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,133.0,EA,,1,GR-203-01-p01,,,,,,,,,,,,,,[],[]
GR-203B,"11W LED Bulb at Floor Lamp (E26, 2700K) - 3 per",LIGHTING,,Guestrooms,{},14.0,410.0,EA,,1,GR-203B-01-p01,,,,,,,,,,,,,,[],[]
GR-204,"Vanity Light, 36""W - 20W LED integrated lamping - HARDWIRED",LIGHTING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,133.0,EA,,1,GR-204-01-p01,,,,,,,,,,,,,,[],[]
GR-205,Desk Task Lamp - 7W LED integrated panel at pivoting head,LIGHTING,,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4}",1.0,43.0,EA,,1,GR-205-01-p01,,,,,,,,,,,,,,[],[]
GR-250,"Flush mount Ceiling Light at Guest Entry - 15""Dia. - HARDWIRED",LIGHTING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 4, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 6, 'ID-413': 1}",1.0,138.0,EA,,1,GR-250-01-p01,,,,,,,,,,,,,,[],[]
GR-251,"Flush mount Ceiling Light at Guest Bath - 15""Dia. - HARDWIRED",LIGHTING,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 40, 'ID-409': 10, 'ID-407': 16, 'ID-408': 8, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 8, 'ID-411': 3, 'ID-413': 1}",1.0,174.0,EA,,1,GR-251-01-p01,,,,,,,,,,,,,,[],[]
GR-251B,"9W LED Bulbs at Ceiling Fixtures (E26, 2700K) - 2 per",LIGHTING,,Guestrooms,{},10.0,630.0,EA,,1,GR-251B-01-p01,,,,,,,,,,,,,,[],[]
GR-300,"King Headboard with 2 layered Upholstered Panels - 83""W x 41""H",CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1}",,54.0,EA,"Specified Vinyl Included @ Lower Panel: Logan - Harbor; Upper Panel
Fabric Included: MLSB Accra Navy",1,GR-300-01-p01,,,,,,,,,,,,,,[],[]
GR-301,"Queen Headboard with 2 layered Upholstered Panels - 67""W x 41""H",CASEGOODS,,Guestrooms,"{'ID-402': 128, 'ID-403': 10, 'ID-404': 2, 'ID-406': 8, 'ID-411': 6, 'ID-413': 2}",,156.0,EA,"Specified Vinyl Included @ Lower Panel: Logan - Harbor; Upper Panel
Fabric Included: MLSB Accra Navy",1,GR-301-01-p01,,,,,,,,,,,,,,[],[]
GR-302,"King Left Nightstand with Power Unit and Lower Door and upper Open Cubby -
22""W",CASEGOODS,,Guestrooms,"{'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1}",,40.0,EA,,1,GR-302-01-p01,,,,,,,,,,,,,,[],[]
GR-303,"King Right Nightstand with Power Unit and Lower Door and upper Open Cubby -
22""W",CASEGOODS,,Guestrooms,"{'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1}",,40.0,EA,,1,GR-303-01-p01,,,,,,,,,,,,,,[],[]
GR-354,"King Left Nightstand with Power Unit and Lower Door and upper Open Cubby -
18""W",CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-401': 4}",,14.0,EA,,1,GR-354-01-p01,,,,,,,,,,,,,,[],[]
GR-355,"King Right Nightstand with Power Unit and Lower Door and upper Open Cubby -
18""W",CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-401': 4}",,14.0,EA,,1,GR-355-01-p01,,,,,,,,,,,,,,[],[]
GR-304,"Queen Center Nightstand with (2) Power Units and Lower Door and upper Open
Cubby - 24""W",CASEGOODS,,Guestrooms,"{'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",,78.0,EA,,1,GR-304-01-p01,,,,,,,,,,,,,,[],[]
GR-305,"King Platform Bed Base - 76""W x 82""L x 14""H",CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4}",,51.0,EA,,1,GR-305-01-p01,,,,,,,,,,,,,,[],[]
GR-306,"Queen Platform Bed Base - 60""W x 82""L x 14""H",CASEGOODS,,Guestrooms,"{'ID-402': 128, 'ID-403': 10, 'ID-404': 2, 'ID-406': 8}",,148.0,EA,,1,GR-306-01-p01,,,,,,,,,,,,,,[],[]
GR-307,"Hospitality Unit with Open Cubby for Microwave and 1-Door Cabinet for Mini-
Fridge and Integrated Power Hub - 68""W - 25""OAD",CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-401': 4}",,14.0,EA,"5 Right, 9 Left; MODIFIED OAD TO ACCOMMODATE EXISTING MINI-
FRIDGE APPLIANCE: 17""W x 25""H x 22""D",1,GR-307-01-p01,,,,,,,,,,,,,,[],[]
GR-309,"Activity Table - 34""Dia.",CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4}",,125.0,EA,,1,GR-309-01-p01,,,,,,,,,,,,,,[],[]
GR-309ADA,"Accessible Activity Table with 3 Legs - 40""Dia.",CASEGOODS,,Guestrooms,"{'ID-410': 2, 'ID-412': 1, 'ID-411': 3, 'ID-413': 1}",,7.0,EA,,1,GR-309ADA-01-p01,,,,,,,,,,,,,,[],[]
GR-310,"TV Panel with cutout for wall mount - 34""W x 24""H",CASEGOODS,,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4}",,42.0,EA,,1,GR-310-01-p01,,,,,,,,,,,,,,[],[]
GR-311,"Entry Wall Hooks Panel - 20""W x 3""D x 3.5""H",CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",4.0,132.0,EA,,1,GR-311-01-p01,,,,,,,,,,,,,,[],[]
GR-312,"Studio Suite Cantilivered/Floating Wall Shelf - 60""W x 10""D",CASEGOODS,,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4}",,42.0,EA,,1,GR-312-01-p01,,,,,,,,,,,,,,[],[]
GR-313,C-Table at Studios (Black Metal Base with HPL inset top),CASEGOODS,,Guestrooms,"{'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4, 'ID-413': 1}",,45.0,EA,,1,GR-313-01-p01,,,,,,,,,,,,,,[],[]
GR-356,"Hospitality Unit with Open Cubby for Microwave, 1-Door Cabinet for Mini-Fridge,
Integrated Power Hub, and Integrated Luggage Bench - 87""W",CASEGOODS,,Guestrooms,"{'ID-410': 2, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-411': 3}",,75.0,EA,"37 Right, 38 Left - Existing Fridge = 17”W x 25”H x 22”D // Existing
Microwave: 18""W x 11""H x 12.5""D",1,GR-356-01-p01,,,,,,,,,,,,,,[],[]
GR-359,"Luggage Bench with Slatted Screen Wall Back and Side Panel and Hanging hooks, 1
Bottom Drawer - 37.75""W x 84""H",CASEGOODS,,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4}",,42.0,EA,"21 Lefts, 21 Rights",2,GR-359-01-p02,,,,,,,,,,,,,,[],[]
GR-360,Luggage Bench w/ Back Panel and 3 Hooks at King/King EXT/ADA QQ RIS,CASEGOODS,,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-413': 1}",,15.0,EA,,2,GR-360-01-p02,,,,,,,,,,,,,,[],[]
GR-364,Freestanding Towel Caddy at King ADA Studio,CASEGOODS,,Guestrooms,{'ID-412': 1},,1.0,EA,,2,GR-364-01-p02,,,,,,,,,,,,,,[],[]
GR-370C,"Storage Unit at QQ ADA RIS Room Type - 2 Drawers, open shelf - 46""W",CASEGOODS,,Guestrooms,{'ID-413': 1},,1.0,EA,,2,GR-370C-01-p02,,,,,,,,,,,,,,[],[]
GR-317,"Vanity with Quartz Top, Centered Sink cutout, 4""H Backsplash and (2) 12""W Towel
Bars at Front Apron, Base: Legs are Metal with Towel Shelf - 61.25""W",CASEGOODS,,Guestrooms,{},,65.0,EA,"REFER TO SHOP DRAWINGS FOR ROOM #s USING THIS VANITY
TYPE/SIZE - Vendor will include 2 vanity sets at no charge",2,GR-317-01-p02,,,,,,,,,,,,,,[],[]
GR-316,"Vanity with Quartz Top, Centered Sink cutout, 4""H Backsplash and (2) 12""W Towel
Bars at Front Apron, Base: Legs are Metal with Towel Shelf - 58""W",CASEGOODS,,Guestrooms,{},,58.0,EA,"REFER TO SHOP DRAWINGS FOR ROOM #s USING THIS VANITY
TYPE/SIZE - Vendor will include 1 vanity set at no charge",2,GR-316-01-p02,,,,,,,,,,,,,,[],[]
GR-316B,"56""W Vanity with Quartz Top, Centered Sink cutout, 4""H Backsplash and (2) 12""W
Towel Bars at Front Apron, Base: Legs are Metal - ROOM #128",CASEGOODS,,Guestrooms,{},,1.0,EA,,2,GR-316B-01-p02,,,,,,,,,,,,,,[],[]
GR-317B,"66""W Vanity with Quartz Top, Centered Sink cutout, 4""H Backsplash and (2) 12""W
Towel Bars at Front Apron, Base: Legs are Metal - ROOM #134",CASEGOODS,,Guestrooms,{},,1.0,EA,,2,GR-317B-01-p02,,,,,,,,,,,,,,[],[]
GR-316ADA,"58.5""W Vanity with Quartz Top, Centered Sink Cutout, 4""H Backsplah and (2) 12""
Towel Bars at Front Apron, (2) L/R Open Cubbies and Slanted Front Access Panel -
ROOM #414",CASEGOODS,,Guestrooms,{},,1.0,EA,,2,GR-316ADA-01-p02,,,,,,,,,,,,,,[],[]
GR-361ADA,"ADA Vanity with Quartz Top, Offset Sink cutout, 4""H Backsplash and (1) 12""W Towel
Bar at Front Apron, Base: Legs are Metal with (1) Open Cubby opposite sink side and
angled front Panel - 49.5""W (ROOM #s 208, 308, 314, 408)",CASEGOODS,,Guestrooms,{},,4.0,EA,,2,GR-361ADA-01-p02,,,,,,,,,,,,,,[],[]
GR-361BADA,"ADA Vanity with Quartz Top, Offset Sink cutout, 4""H Backsplash + 1 Side Splash, and
(1) 12""W Towel Bar at Front Apron, Base: Legs are Metal with (1) Open Cubby
opposite sink side and angled front Panel - 49.5""W (ROOM #132)",CASEGOODS,,Guestrooms,{},,1.0,EA,,2,GR-361BADA-01-p02,,,,,,,,,,,,,,[],[]
GR-316BADA,"66""W Vanity with Quartz Top, Centered Sink Cutout, 4""H Backsplah and (2) 12""
Towel Bars at Front Apron, (2) L/R Open Cubbies and Slanted Front Access Panel -
ROOM #211",CASEGOODS,,Guestrooms,{},,1.0,EA,,2,GR-316BADA-01-p02,,,,,,,,,,,,,,[],[]
LEFT SINK,"Studio Suite Wet Bar Cabinetry with Quartz Top - 76.5""W - with 4""H Backsplash and
(2) Side Splashes, Offset Sink cutout - 3 Drawers in Base Cabinetry + 1 open cubby
for microwave and 2 drawers",CASEGOODS,,Guestrooms,{},,21.0,SET,"REFER TO SHOP DRAWINGS FOR ROOM #s USING THIS VANITY
TYPE/SIZE - Vendor will include 1 set at no charge",2,LEFT SINK-01-p02,,,,,,,,,,,,,,[],[]
RIGHT SINK,"Studio Suite Wet Bar Cabinetry with Quartz Top - 76.5""W - with 4""H Backsplash and
(2) Side Splashes, Offset Sink cutout - 3 Drawers in Base Cabinetry + 1 open cubby
for microwave and 2 drawers",CASEGOODS,,Guestrooms,{},,19.0,SET,"REFER TO SHOP DRAWINGS FOR ROOM #s USING THIS VANITY
TYPE/SIZE",2,RIGHT SINK-01-p02,,,,,,,,,,,,,,[],[]
RM #436,"Studio Suite Wet Bar Cabinetry with Quartz Top - 70-5/8""W - with 4""H Backsplash
and (2) Side Splashes, Offset Sink cutout - 3 Doors in Base Cabinetry + 1 open
cubby for microwave and 2 drawers",CASEGOODS,,Guestrooms,{},,1.0,SET,,2,RM #436-01-p02,,,,,,,,,,,,,,[],[]
RM #211,"Studio Suite Wet Bar Cabinetry with Quartz Top - 77.75""W - with 4""H Backsplash
and (2) Side Splashes, Offset Right Sink cutout - 4 Drawers in Base Cabinetry + 1
Large Door Cabinet and Open Sink Area with ADA compliant Angled access panel",CASEGOODS,,Guestrooms,{},,1.0,SET,,2,RM #211-01-p02,,,,,,,,,,,,,,[],[]
RM #132,"Studio Suite Wet Bar Cabinetry with Quartz Top - 86""W - with 4""H Backsplash and
(2) Side Splashes, Offset Sink cutout - 4 Drawers in Base Cabinetry + 1 Large Door
Cabinet and Open Sink Area with ADA compliant Angled access panel",CASEGOODS,,Guestrooms,{},,1.0,SET,,2,RM #132-01-p02,,,,,,,,,,,,,,[],[]
GR-400,"Center Draw Sheer & Blackout (short/traversing - finishes 1/2"" above PTAC) - ceiling
mounted with painted wood cornice (extends 12"" past each window side) -
hardware included: (4) batons, double architrac",WINDOW TREATMENT,"If Ceilings are higher than 96""H, treatments to be wall mounted at 96""AFF",Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1}",,84.0,EA,Specified fabrics are graded in,3,GR-400-01-p03,,,,,,,,,,,,,,[],[]
GR-400ADA,"Center Draw Sheer & Blackout (short/traversing - finishes 1/2"" above PTAC) - ceiling
mounted with painted wood cornice (extends 12"" past each window side) -
hardware included: (4) ADA looped batons, double architrac",WINDOW TREATMENT,"If Ceilings are higher than 96""H, treatments to be wall mounted at 96""AFF",Guestrooms,"{'ID-410': 2, 'ID-411': 3, 'ID-413': 1}",,6.0,EA,Specified fabrics are graded in,3,GR-400ADA-01-p03,,,,,,,,,,,,,,[],[]
GR-450,"One Way Dray Sheer & Blackout (short/traversing - finishes 1/2"" above PTAC) -
ceiling mounted with painted wood cornice (extends 12"" past window on one side
and 6"" past on the other) - hardware included: (2) batons, double architrac",WINDOW TREATMENT,"If Ceilings are higher than 96""H, treatments to be wall mounted at 96""AFF",Guestrooms,"{'ID-405': 40, 'ID-409': 10, 'ID-407': 16, 'ID-408': 8, 'ID-406': 8}",,82.0,EA,Specified fabrics are graded in,3,GR-450-01-p03,,,,,,,,,,,,,,[],[]
GR-450ADA,"One Way Dray Sheer & Blackout (short/traversing - finishes 1/2"" above PTAC) -
ceiling mounted with painted wood cornice (extends 12"" past window on one side
and 6"" past on the other) - hardware included: (2) ADA looped batons, double
architrac",WINDOW TREATMENT,"If Ceilings are higher than 96""H, treatments to be wall mounted at 96""AFF",Guestrooms,{'ID-412': 2},,2.0,EA,Specified fabrics are graded in,3,GR-450ADA-01-p03,,,,,,,,,,,,,,[],[]
GR-500,Bedroom/Main Guestroom Artwork - SET OF 3 framed Prints,ARTWORK & MIRRORS,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,133.0,SET,,3,GR-500-01-p03,,,,,,,,,,,,,,[],[]
GR-501,"Custom Regional Art at Guest Bath - Framed Print 19.75""W x 26.75""H",ARTWORK & MIRRORS,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,133.0,EA,,3,GR-501-01-p03,,,,,,,,,,,,,,[],[]
GR-502,"Full Length Guestroom Mirror - Sap Walnut Frame - 24""W x 67""H",ARTWORK & MIRRORS,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-411': 3, 'ID-413': 1}",1.0,133.0,EA,,3,GR-502-01-p03,,,,,,,,,,,,,,[],[]
GR-503,"Framed Vanity Mirror - 48""W x 36""H (Sap Oak Frame finish)",ARTWORK & MIRRORS,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-402': 64, 'ID-403': 5, 'ID-404': 1, 'ID-406': 4, 'ID-413': 1}",1.0,127.0,EA,,3,GR-503-01-p03,,,,,,,,,,,,,,[],[]
GR-550,"Artwork at Wet Bar in Studio Suites - 42""W x 30""H, framed print",ARTWORK & MIRRORS,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4, 'ID-413': 1}",,43.0,EA,,3,GR-550-01-p03,,,,,,,,,,,,,,[],[]
GR-551,"Artwork at Bedrooms - 36""W x 22""H, framed print",ARTWORK & MIRRORS,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1, 'ID-406': 4, 'ID-413': 1}",,43.0,EA,,3,GR-551-01-p03,,,,,,,,,,,,,,[],[]
GR-552,"Framed Vanity Mirror - 40""W x 36""H (Sap Oak Frame finish)",ARTWORK & MIRRORS,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-410': 2, 'ID-412': 1, 'ID-411': 3}",,6.0,EA,,3,GR-552-01-p03,,,,,,,,,,,,,,[],[]
GR-600,King Mattress ONLY - Mesmerize (1-sided) 76x80,BEDDING,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-400': 10, 'ID-401': 4, 'ID-410': 2, 'ID-405': 20, 'ID-409': 5, 'ID-407': 8, 'ID-408': 4, 'ID-412': 1}",,54.0,EA,,3,GR-600-01-p03,,,,,,,,,,,,,,[],[]
GR-601,Queen Mattress ONLY - Mesmerize (1-sided) 60x80,BEDDING,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-402': 128, 'ID-403': 10, 'ID-404': 2, 'ID-406': 8, 'ID-411': 6, 'ID-413': 2}",,156.0,EA,,3,GR-601-01-p03,,,,,,,,,,,,,,[],[]
GR-600ADA,"5.5""H Boxspring for King Mattress in ADA Rooms - 2 per required",BEDDING,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-410': 4, 'ID-412': 2}",,6.0,EA,,3,GR-600ADA-01-p03,,,,,,,,,,,,,,[],[]
GR-601ADA,"5.5""H Boxspring for Queen Mattress in ADA Rooms",BEDDING,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-411': 6, 'ID-413': 2}",,8.0,EA,,3,GR-601ADA-01-p03,,,,,,,,,,,,,,[],[]
ADA-6556BG,"ADA Bed Frame - Adjustable Size, fits Kings or Queens - 7.25""H",BEDDING,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-410': 2, 'ID-412': 1, 'ID-411': 6, 'ID-413': 2}",,11.0,EA,,3,ADA-6556BG-01-p03,,,,,,,,,,,,,,[],[]
GR-604ADA,"ADA King Bedskirt - 76""W x 80""L x 12.5""Drop",BEDDING,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-410': 2, 'ID-412': 1}",1.0,4.0,EA,Fabric Included: Valeria - 03 Atlantic,3,GR-604ADA-01-p03,,,,,,,,,,,,,,[],[]
GR-605ADA,"ADA Queen Bedskirt - 60""W x 80""L x 12.5""Drop",BEDDING,Installation Services (4 trips/phases) - accomodations provided on site,Guestrooms,"{'ID-411': 6, 'ID-413': 2}",1.0,9.0,EA,Fabric Included: Valeria - 03 Atlantic,3,GR-605ADA-01-p03,,,,,,,,,,,,,,[],[]
#2001 (P-02),Rectangular Undermount Sink,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,125.0,EA,Vendor will include 5 sinks at no charge in shipment,3,#2001 (P-02)-01-p03,,,,,,,,,,,,,,[],[]
#2321 (P-03),ADA Rectangular Undermount Sink,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,11.0,EA,TOTAL QTY INCLUDES SINKS FOR PUBLIC RESTROOM VANITIES,3,#2321 (P-03)-01-p03,,,,,,,,,,,,,,[],[]
P-12,Stainless Steel Wet Bar Sink,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,41.0,EA,,3,P-12-01-p03,,,,,,,,,,,,,,[],[]
P-13,ADA Stainless Steel Wet Bar Sink - Elkay Model #EELUHAD121245,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,2.0,EA,,3,P-13-01-p03,,,,,,,,,,,,,,[],[]
P-04,Vanity Faucet - Neo Single Lever,FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,132.0,EA,,3,P-04-01-p03,,,,,,,,,,,,,,[],[]
P-14,"Wet Bar Faucet - Kohler Cru, polished chrome (No pull-down)",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,{},,43.0,EA,,3,P-14-01-p03,,,,,,,,,,,,,,[],[]
T-01,"Floor Tile at Guest Bath/Entry - 12"" x 24""",FINISHES & FIXTURES,*GC MUST CONFIRM QTYS ON FINISHES PROVIDED BY INNVISION*,Guestrooms,"{'ID-400': 1020, 'ID-401': 480, 'ID-410': 260, 'ID-405': 2580, 'ID-409': 640, 'ID-407': 976, 'ID-408': 560, 'ID-412': 130, 'ID-402': 5312, 'ID-403': 525, 'ID-404': 123, 'ID-406': 516, 'ID-411': 453, 'ID-413': 124}",,13701.1,SFT,Portfolio - Ash Grey #PF05 (17.02 SF per Carton),3,T-01-01-p03,,,,,,,,,,,,,,[],[]
